run,Sample,Environment,isTrimmed,baseRecalibration,Mapper,VariantCaller,Duplicates,pass_filter_applied,n_variants,tmb,tmb_merged
269,LL,Altay + COSAP,YES,YES,BOWTIE,SomaticSniper,MARK,False,1752,21.693254606300115,21.706887658641946
270,NC,Uhem + COSAP,YES,YES,BOWTIE,SomaticSniper,MARK,False,1246,15.427965319320744,15.437660971842387
273,LL,Uhem + COSAP,NO,NO,BOWTIE,SomaticSniper,MARK,False,846,10.475167464001084,10.481750547494912
274,EA,Uhem + COSAP,NO,NO,BOWTIE,SomaticSniper,MARK,False,758,9.385551935830758,9.391450254138467
275,LL,Altay + COSAP,NO,NO,BOWTIE,SomaticSniper,MARK,False,846,10.475167464001084,10.481750547494912
276,NC,Uhem + COSAP,NO,NO,BOWTIE,SomaticSniper,MARK,False,787,9.744629780341434,9.75075375990366
279,LL,Uhem + COSAP,YES,NO,BOWTIE,SomaticSniper,MARK,False,2406,29.791079099747762,29.809801202450068
280,EA,Uhem + COSAP,YES,NO,BOWTIE,SomaticSniper,MARK,False,1401,17.347174488257114,17.358076261277034
281,LL,Altay + COSAP,YES,NO,BOWTIE,SomaticSniper,MARK,False,2406,29.791079099747762,29.809801202450068
282,NC,Uhem + COSAP,YES,NO,BOWTIE,SomaticSniper,MARK,False,1369,16.95095065983154,16.961603427329237
285,LL,Uhem + COSAP,NO,YES,BOWTIE,SomaticSniper,MARK,False,550,6.810097051064534,6.8143768334777794
286,EA,Uhem + COSAP,NO,YES,BOWTIE,SomaticSniper,MARK,False,639,7.9120945738731585,7.917066902895093
287,LL,Altay + COSAP,NO,YES,BOWTIE,SomaticSniper,MARK,False,550,6.810097051064534,6.8143768334777794
288,NC,Uhem + COSAP,NO,YES,BOWTIE,SomaticSniper,MARK,False,697,8.63025026289451,8.635673914425476
290,EA,Altay + COSAP,YES,YES,BWA,Mutect,DELETE,True,1261,15.613695238895232,15.623507612755418
296,EA,Altay + COSAP,NO,NO,BWA,Mutect,DELETE,True,1276,15.799425158469719,15.809354253668449
302,EA,Altay + COSAP,YES,NO,BWA,Mutect,DELETE,True,1293,16.009919067320805,16.019980446703215
308,EA,Altay + COSAP,NO,YES,BWA,Mutect,DELETE,True,1237,15.316527367576052,15.32615298729457
314,EA,Altay + COSAP,YES,YES,BOWTIE,Mutect,DELETE,True,1082,13.397318198639685,13.405737697859923
320,EA,Altay + COSAP,NO,NO,BOWTIE,Mutect,DELETE,True,1094,13.545902134299274,13.554415010590347
