run,region,n_called,n_truth,tp,precision,recall,f1
613,GRCh38_notinsegdups,1447,1123,918,0.6344160331720802,0.8174532502226179,0.714396887159533
613,GRCh38_segdups,57,38,26,0.45614035087719296,0.6842105263157895,0.5473684210526316
614,GRCh38_alldifficultregions,295,294,195,0.6610169491525424,0.6632653061224489,0.6621392190152802
614,GRCh38_alllowmapandsegdupregions,15,43,9,0.6,0.20930232558139536,0.3103448275862069
614,GRCh38_notinalldifficultregions,1074,867,671,0.6247672253258846,0.7739331026528259,0.6913961875322
614,GRCh38_notinalllowmapandsegdupregions,1354,1118,857,0.6329394387001477,0.7665474060822898,0.6933656957928802
614,GRCh38_notinsegdups,1355,1123,857,0.6324723247232472,0.7631344612644702,0.691686844229217
614,GRCh38_segdups,14,38,9,0.6428571428571429,0.23684210526315788,0.34615384615384615
615,GRCh38_alldifficultregions,946,294,242,0.2558139534883721,0.8231292517006803,0.39032258064516134
615,GRCh38_alllowmapandsegdupregions,132,43,34,0.25757575757575757,0.7906976744186046,0.3885714285714286
615,GRCh38_notinalldifficultregions,2328,867,742,0.31872852233676974,0.8558246828143022,0.4644757433489828
615,GRCh38_notinalllowmapandsegdupregions,3142,1118,950,0.302355187778485,0.8497316636851521,0.4460093896713615
615,GRCh38_notinsegdups,3146,1123,954,0.30324221233312143,0.8495102404274265,0.4469430780042164
615,GRCh38_segdups,128,38,30,0.234375,0.7894736842105263,0.3614457831325301
616,GRCh38_alldifficultregions,253,294,177,0.6996047430830039,0.6020408163265306,0.6471663619744059
616,GRCh38_alllowmapandsegdupregions,29,43,22,0.7586206896551724,0.5116279069767442,0.6111111111111112
616,GRCh38_notinalldifficultregions,795,867,592,0.7446540880503144,0.6828143021914648,0.7123947051744887
616,GRCh38_notinalllowmapandsegdupregions,1019,1118,747,0.7330716388616291,0.6681574239713775,0.6991109031352363
616,GRCh38_notinsegdups,1022,1123,750,0.7338551859099804,0.667853962600178,0.6993006993006993
616,GRCh38_segdups,26,38,19,0.7307692307692307,0.5,0.5937499999999999
617,GRCh38_alldifficultregions,1167,294,226,0.19365895458440446,0.7687074829931972,0.30937713894592744
617,GRCh38_alllowmapandsegdupregions,196,43,31,0.15816326530612246,0.7209302325581395,0.2594142259414226
617,GRCh38_notinalldifficultregions,1943,867,675,0.3474009264024704,0.7785467128027682,0.4804270462633452
617,GRCh38_notinalllowmapandsegdupregions,2914,1118,870,0.29855868222374743,0.778175313059034,0.431547619047619
617,GRCh38_notinsegdups,2921,1123,873,0.29887024991441286,0.7773820124666073,0.43175074183976253
617,GRCh38_segdups,189,38,28,0.14814814814814814,0.7368421052631579,0.24669603524229075
618,GRCh38_alldifficultregions,249,294,15,0.060240963855421686,0.05102040816326531,0.05524861878453039
618,GRCh38_alllowmapandsegdupregions,4,43,0,0.0,0.0,0.0
618,GRCh38_notinalldifficultregions,540,867,61,0.11296296296296296,0.07035755478662054,0.0867093105899076
618,GRCh38_notinalllowmapandsegdupregions,785,1118,76,0.09681528662420383,0.06797853309481217,0.07987388334209143
618,GRCh38_notinsegdups,785,1123,76,0.09681528662420383,0.06767586821015138,0.07966457023060797
618,GRCh38_segdups,4,38,0,0.0,0.0,0.0
619,GRCh38_alldifficultregions,377,294,233,0.6180371352785146,0.7925170068027211,0.6944858420268256
619,GRCh38_alllowmapandsegdupregions,62,43,30,0.4838709677419355,0.6976744186046512,0.5714285714285715
