run,TestCaseNo,VariantCaller,pass_filter_applied,records_read,records_kept,n_variants
854,854,Strelka,True,75527,1136,1136
855,855,Strelka,True,84265,1199,1199
856,856,Strelka,True,42979,1076,1076
857,857,SomaticSniper,False,1469,1469,1469
858,858,SomaticSniper,False,1688,1688,1688
859,859,SomaticSniper,False,1671,1671,1671
860,860,SomaticSniper,False,1440,1440,1440
861,861,SomaticSniper,False,1081,1081,1081
862,862,SomaticSniper,False,832,832,832
863,863,SomaticSniper,False,1357,1357,1357
864,864,SomaticSniper,False,680,680,680
