TestCaseNo,phase,Sample,operatingSystem,HOW,isTrimmed,baseRecalibration,Mapper,M_Version,Variant Caller,VC_Version,ReferenceGenom,Duplicates,Variant Filter,FilterPass,SOMATICfilter,remove_indels,Sort,File Link,Result VCF Count,Kim yaptı :),Slurm_id,Donanım,ElapsedTime
TestCase 100,notReady,LL,MAC,Local,YES,YES,BWA,,SomaticSniper,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 101,notReady,LL,,Altay + COSAP,YES,YES,BWA,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 102,notReady,LL,,Uhem + COSAP,YES,YES,BWA,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 103,notReady,LL,Linux,Local,NO,NO,BWA,,SomaticSniper,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 104,done,EA,Linux,Altay + COSAP,NO,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1FPivop-LSA7K2-C5yi9kOPHyR5wCUZHP?usp=share_link,,GUL EDA,29814,a041,02:03:55
TestCase 105,notReady,LL,,Uhem + COSAP,NO,NO,BWA,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 106,notReady,LL,MAC,Local,NO,NO,BWA,,SomaticSniper,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 107,notReady,LL,,Altay + COSAP,NO,NO,BWA,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 108,notReady,LL,,Uhem + COSAP,NO,NO,BWA,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 109,notReady,LL,Linux,Local,YES,NO,BWA,,SomaticSniper,,hg19,MARK,,,,,,,,GAMZE,,,
TestCase 110,done,EA,Linux,Altay + COSAP,YES,NO,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1mcioFtr2bfHCVV-FEBglHffw_MIBH8vb?usp=share_link,,GUL EDA,29814,a041,02:22:27
TestCase 111,notReady,LL,,Uhem + COSAP,YES,NO,BWA,,SomaticSniper,,hg19,MARK,,,,,,,,GÜL EDA,,,
TestCase 112,notReady,LL,MAC,Local,YES,NO,BWA,,SomaticSniper,,hg19,MARK,,,,,,,,GAMZE,,,
