IDs,phase,Sample,HOW,isTrimmed,baseRecalibration,Mapper,Variant Caller,Duplicates,File Link,Result VCF Count,Kim yaptı :),Notes:
TestCase 69,,IL,Uhem + COSAP,yes,no,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1EC6OWbD7vhCT1LdSGuem6VFukEpZMufE?usp=sharing,,Gül Eda,
TestCase 70,,IL,Uhem + COSAP,yes,no,BWA,Strelka,MARK,https://drive.google.com/drive/folders/17YjPvEqxpBNQbhGVIy9WGXnyO3sN695Y?usp=sharing,,Gül Eda,
TestCase 71,,IL,Uhem + COSAP,yes,no,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/11II0yVaoKvbciCva9WPqJdmC3YbAkIoU?usp=sharing,,Gül Eda,
TestCase 72,,IL,Uhem + COSAP,yes,no,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1uW4ykFVa--fY15IX4Txa_zVpTcx4HFMh?usp=sharing,,Gül Eda,
TestCase 73,,IL,Uhem + COSAP,no,yes,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1YmdZLiKiTLXaiEwc13FKtzNMkRYdpZ5t?usp=sharing,,Gül Eda,
TestCase 74,,IL,Uhem + COSAP,no,yes,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1-Im4JhHgBvNdirpuBVuKmgm8NjKGKiE-?usp=sharing,,Gül Eda,
TestCase 75,,IL,Uhem + COSAP,no,yes,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/1zjnZXLyaKsL-OHShTIrHsBfrZvP6w07d?usp=sharing,,Gül Eda,
TestCase 76,,IL,Uhem + COSAP,no,yes,Bowtie,Strelka,MARK,https://drive.google.com/drive/folders/1tRkSTxiMh9KrKrRbvJOTMDRKOb9DZ7Q-?usp=sharing,,Gül Eda,
TestCase 77,,IL,Uhem + COSAP,no,no,BWA,Mutect,MARK,https://drive.google.com/drive/folders/1dSQTytdYPZpH5w1pfqyWdBQ4PL2RT9EX?usp=sharing,,Gül Eda,
TestCase 78,,IL,Uhem + COSAP,no,no,BWA,Strelka,MARK,https://drive.google.com/drive/folders/1p-j5megHRou1EU98Sje0sdAPEVjYAieK?usp=sharing,,Gül Eda,
TestCase 79,,IL,Uhem + COSAP,no,no,Bowtie,Mutect,MARK,https://drive.google.com/drive/folders/18FBrgru-T6dTDrUXOrW4M_iORiVVLJgP?usp=sharing,,Gül Eda,
