run,TestCaseNo,region,filter,n_input,n_kept,iou,precision,recall,f1
587,587,GRCh38_alllowmapandsegdupregions,legacy,2227,1703,0.2935862691960253,0.3816793893129771,0.5598621877691645,0.4539106145251397
587,587,GRCh38_notinalldifficultregions,corrected,2227,1303,0.36207849640685463,0.5026861089792786,0.5641688199827735,0.5316558441558442
587,587,GRCh38_notinalldifficultregions,legacy,2227,2218,0.345679012345679,0.3913435527502254,0.7476313522825151,0.5137614678899083
587,587,GRCh38_notinalllowmapandsegdupregions,corrected,2227,2049,0.3561470215462611,0.41142020497803805,0.7260981912144703,0.525233644859813
587,587,GRCh38_notinalllowmapandsegdupregions,legacy,2227,2227,0.347117296222664,0.3920071845532106,0.751937984496124,0.5153482880755609
587,587,GRCh38_notinsegdups,corrected,2227,2057,0.35723323492197384,0.4117647058823529,0.7295434969853575,0.526413921690491
587,587,GRCh38_notinsegdups,legacy,2227,2227,0.347117296222664,0.3920071845532106,0.751937984496124,0.5153482880755609
587,587,GRCh38_segdups,corrected,2227,170,0.01992337164750958,0.15294117647058825,0.02239448751076658,0.03906836964688204
587,587,GRCh38_segdups,legacy,2227,1387,0.25765054294175715,0.37635183850036047,0.4496124031007752,0.40973312401883827
588,588,GRCh38_alldifficultregions,corrected,1767,573,0.11368015414258188,0.3089005235602094,0.1524547803617571,0.2041522491349481
588,588,GRCh38_alldifficultregions,legacy,1767,1632,0.3604481246955675,0.4534313725490196,0.6373815676141258,0.5298961689939133
588,588,GRCh38_alllowmapandsegdupregions,corrected,1767,11,0.0025662959794696323,0.2727272727272727,0.002583979328165375,0.005119453924914676
588,588,GRCh38_alllowmapandsegdupregions,legacy,1767,1325,0.3174350821409645,0.4520754716981132,0.5159345391903531,0.4818986323411102
588,588,GRCh38_notinalldifficultregions,corrected,1767,1194,0.37157833430401865,0.5343383584589615,0.549526270456503,0.5418259023354565
588,588,GRCh38_notinalldifficultregions,legacy,1767,1763,0.38446969696969696,0.46057855927396485,0.6993970714900948,0.5554035567715458
588,588,GRCh38_notinalllowmapandsegdupregions,corrected,1767,1756,0.3857482185273159,0.4624145785876993,0.6993970714900948,0.5567363729859445
588,588,GRCh38_notinalllowmapandsegdupregions,legacy,1767,1767,0.38570752484619025,0.46123372948500285,0.7019810508182601,0.5566939890710384
588,588,GRCh38_notinsegdups,corrected,1767,1756,0.3857482185273159,0.4624145785876993,0.6993970714900948,0.5567363729859445
588,588,GRCh38_notinsegdups,legacy,1767,1767,0.38570752484619025,0.46123372948500285,0.7019810508182601,0.5566939890710384
588,588,GRCh38_segdups,corrected,1767,11,0.0025662959794696323,0.2727272727272727,0.002583979328165375,0.005119453924914676
588,588,GRCh38_segdups,legacy,1767,1059,0.2765957446808511,0.4542020774315392,0.4142980189491817,0.43333333333333335
589,589,GRCh38_alldifficultregions,corrected,1378,346,0.18196078431372548,0.6705202312138728,0.19982773471145565,0.30789648307896483
589,589,GRCh38_alldifficultregions,legacy,1378,1258,0.5546272493573264,0.6860095389507154,0.7433247200689062,0.7135179826374534
589,589,GRCh38_alllowmapandsegdupregions,corrected,1378,58,0.025231286795626577,0.5172413793103449,0.025839793281653745,0.04922067268252665
589,589,GRCh38_alllowmapandsegdupregions,legacy,1378,1022,0.46805648957632817,0.6810176125244618,0.599483204134367,0.6376546037562987
589,589,GRCh38_notinalldifficultregions,corrected,1378,1032,0.4797570850202429,0.688953488372093,0.6124031007751938,0.6484268125854994
589,589,GRCh38_notinalldifficultregions,legacy,1378,1375,0.5889724310776943,0.6836363636363636,0.8096468561584841,0.7413249211356467
589,589,GRCh38_notinalllowmapandsegdupregions,corrected,1378,1320,0.5822704081632653,0.6916666666666667,0.7863910422049957,0.735993550987505
589,589,GRCh38_notinalllowmapandsegdupregions,legacy,1378,1378,0.5908521303258145,0.6843251088534107,0.8122308354866494,0.7428121307601416
589,589,GRCh38_notinsegdups,corrected,1378,1325,0.5844486934353091,0.6920754716981132,0.7898363479758829,0.7377312952534192
589,589,GRCh38_notinsegdups,legacy,1378,1378,0.5908521303258145,0.6843251088534107,0.8122308354866494,0.7428121307601416
589,589,GRCh38_segdups,corrected,1378,53,0.021885521885521887,0.49056603773584906,0.02239448751076658,0.042833607907742995
589,589,GRCh38_segdups,legacy,1378,821,0.3840782122905028,0.6699147381242387,0.4737295434969854,0.5549949545913219
590,590,GRCh38_alldifficultregions,corrected,1073,249,0.17696160267111852,0.8514056224899599,0.1826012058570198,0.300709219858156
590,590,GRCh38_alldifficultregions,legacy,1073,983,0.6341463414634146,0.8463886063072228,0.7166236003445305,0.7761194029850746
590,590,GRCh38_alllowmapandsegdupregions,corrected,1073,16,0.010300429184549357,0.75,0.0103359173126615,0.020390824129141887
590,590,GRCh38_alllowmapandsegdupregions,legacy,1073,789,0.5210608424336973,0.8466413181242078,0.5753660637381568,0.6851282051282052
590,590,GRCh38_notinalldifficultregions,corrected,1073,824,0.5399534522885958,0.8446601941747572,0.599483204134367,0.7012594458438287
590,590,GRCh38_notinalldifficultregions,legacy,1073,1070,0.6825037707390649,0.8457943925233645,0.7795004306632214,0.8112953832362171
590,590,GRCh38_notinalllowmapandsegdupregions,corrected,1073,1057,0.6777609682299546,0.847682119205298,0.7717484926787253,0.8079350766456267
590,590,GRCh38_notinalllowmapandsegdupregions,legacy,1073,1073,0.6847662141779789,0.8462255358807083,0.7820844099913867,0.8128916741271262
590,590,GRCh38_notinsegdups,corrected,1073,1059,0.676737160120846,0.846081208687441,0.7717484926787253,0.8072072072072072
590,590,GRCh38_notinsegdups,legacy,1073,1073,0.6847662141779789,0.8462255358807083,0.7820844099913867,0.8128916741271262
590,590,GRCh38_segdups,corrected,1073,14,0.010318142734307825,0.8571428571428571,0.0103359173126615,0.02042553191489362
590,590,GRCh38_segdups,legacy,1073,627,0.420174741858618,0.8437001594896332,0.45564168819982775,0.5917225950782998
591,591,GRCh38_alldifficultregions,corrected,3231,981,0.12736842105263158,0.24668705402650357,0.20844099913867356,0.22595704948646125
591,591,GRCh38_alldifficultregions,legacy,3231,2989,0.27613776137761376,0.3004349280695885,0.7734711455641688,0.4327710843373494
591,591,GRCh38_alllowmapandsegdupregions,corrected,3231,132,0.027005559968228753,0.25757575757575757,0.029285099052540915,0.0525908739365816
591,591,GRCh38_alllowmapandsegdupregions,legacy,3231,2451,0.25069252077562326,0.2953896368829049,0.6236003445305771,0.40088593576965664
591,591,GRCh38_notinalldifficultregions,corrected,3231,2250,0.2770497940846125,0.3288888888888889,0.6373815676141258,0.4338903547346819
591,591,GRCh38_notinalldifficultregions,legacy,3231,3223,0.2867625476959202,0.3031337263419175,0.8415159345391904,0.4457116788321168
591,591,GRCh38_notinalllowmapandsegdupregions,corrected,3231,3099,0.286231884057971,0.3059051306873185,0.8165374677002584,0.44507042253521134
591,591,GRCh38_notinalllowmapandsegdupregions,legacy,3231,3231,0.2879765395894428,0.3039306716186939,0.8458225667527993,0.44717668488160295
591,591,GRCh38_notinsegdups,corrected,3231,3104,0.2873528523996378,0.30670103092783507,0.8199827734711456,0.44642438452520516
591,591,GRCh38_notinsegdups,legacy,3231,3231,0.2879765395894428,0.3039306716186939,0.8458225667527993,0.44717668488160295
591,591,GRCh38_segdups,corrected,3231,127,0.02384737678855326,0.23622047244094488,0.025839793281653745,0.04658385093167702
591,591,GRCh38_segdups,legacy,3231,1964,0.2259709690074539,0.29327902240325865,0.49612403100775193,0.36863999999999997
592,592,GRCh38_alldifficultregions,corrected,1422,382,0.16102332580887885,0.5602094240837696,0.1843238587424634,0.27738172391445237
592,592,GRCh38_alldifficultregions,legacy,1422,1317,0.4963768115942029,0.6241457858769932,0.7080103359173127,0.6634382566585956
592,592,GRCh38_alllowmapandsegdupregions,corrected,1422,40,0.024744027303754267,0.725,0.024978466838931956,0.048293089092422976
592,592,GRCh38_alllowmapandsegdupregions,legacy,1422,1082,0.42141951837769326,0.6146025878003697,0.5727820844099913,0.5929558626839055
592,592,GRCh38_notinalldifficultregions,corrected,1422,1040,0.45088991430454844,0.6576923076923077,0.5891472868217055,0.6215356656065425
592,592,GRCh38_notinalldifficultregions,legacy,1422,1418,0.5305637982195845,0.6304654442877292,0.7700258397932817,0.6932919736331912
592,592,GRCh38_notinalllowmapandsegdupregions,corrected,1422,1382,0.519115890083632,0.6287988422575976,0.7484926787252368,0.6834447502949272
592,592,GRCh38_notinalllowmapandsegdupregions,legacy,1422,1422,0.5329376854599407,0.6315049226441631,0.7734711455641688,0.6953155245838173
592,592,GRCh38_notinsegdups,corrected,1422,1386,0.5205970149253731,0.6291486291486291,0.7510766580534023,0.6847271299568121
592,592,GRCh38_notinsegdups,legacy,1422,1422,0.5329376854599407,0.6315049226441631,0.7734711455641688,0.6953155245838173
592,592,GRCh38_segdups,corrected,1422,36,0.02220324508966695,0.7222222222222222,0.02239448751076658,0.04344193817878028
592,592,GRCh38_segdups,legacy,1422,855,0.3566621803499327,0.6198830409356725,0.45650301464254955,0.5257936507936508
593,593,GRCh38_alldifficultregions,corrected,3299,1247,0.10509407985314365,0.18364073777064957,0.19724375538329025,0.19019933554817278
593,593,GRCh38_alldifficultregions,legacy,3299,3076,0.24252199413489736,0.2688556566970091,0.7123169681309216,0.3903705451970734
593,593,GRCh38_alllowmapandsegdupregions,corrected,3299,197,0.024132730015082957,0.16243654822335024,0.02756244616709733,0.04712812960235641
593,593,GRCh38_alllowmapandsegdupregions,legacy,3299,2515,0.22451698867421718,0.2679920477137177,0.5805340223944875,0.36670293797606096
593,593,GRCh38_notinalldifficultregions,corrected,3299,2052,0.2669558359621451,0.32992202729044834,0.5831180017226529,0.42141300964830375
593,593,GRCh38_notinalldifficultregions,legacy,3299,3288,0.253945885005637,0.27402676399026765,0.7760551248923342,0.40503483928972805
593,593,GRCh38_notinalllowmapandsegdupregions,corrected,3299,3102,0.25789318383003834,0.28175370728562216,0.7527993109388458,0.41003987802017355
593,593,GRCh38_notinalllowmapandsegdupregions,legacy,3299,3299,0.2549240292628025,0.27462867535616853,0.7803617571059431,0.40627802690582965
593,593,GRCh38_notinsegdups,corrected,3299,3112,0.2586156111929308,0.28213367609254497,0.756244616709733,0.4109524923941025
593,593,GRCh38_notinsegdups,legacy,3299,3299,0.2549240292628025,0.27462867535616853,0.7803617571059431,0.40627802690582965
593,593,GRCh38_segdups,corrected,3299,187,0.021212121212121213,0.1497326203208556,0.024117140396210164,0.04154302670623146
593,593,GRCh38_segdups,legacy,3299,2022,0.20385779122541603,0.2665677546983185,0.46425495262704564,0.3386742067232171
594,594,GRCh38_alldifficultregions,corrected,2892,893,0.1007502679528403,0.21052631578947367,0.16192937123169682,0.18305744888023368
594,594,GRCh38_alldifficultregions,legacy,2892,2675,0.2527759634225996,0.2893457943925234,0.6666666666666666,0.4035453597497393
594,594,GRCh38_alllowmapandsegdupregions,corrected,2892,23,0.003389830508474576,0.17391304347826086,0.0034453057708871662,0.006756756756756756
594,594,GRCh38_alllowmapandsegdupregions,legacy,2892,2169,0.23105360443622922,0.28815122176118024,0.5383290267011197,0.3753753753753753
594,594,GRCh38_notinalldifficultregions,corrected,2892,1999,0.266025641025641,0.3321660830415208,0.5719207579672696,0.4202531645569621
594,594,GRCh38_notinalldifficultregions,legacy,2892,2885,0.26556146387238033,0.29428076256499136,0.7312661498708011,0.41967375185368266
594,594,GRCh38_notinalllowmapandsegdupregions,corrected,2892,2869,0.2664990571967316,0.29557337051237365,0.7304048234280792,0.42084367245657567
594,594,GRCh38_notinalllowmapandsegdupregions,legacy,2892,2892,0.2661668228678538,0.2946058091286307,0.7338501291989664,0.4204293116210215
594,594,GRCh38_notinsegdups,corrected,2892,2869,0.2664990571967316,0.29557337051237365,0.7304048234280792,0.42084367245657567
594,594,GRCh38_notinsegdups,legacy,2892,2892,0.2661668228678538,0.2946058091286307,0.7338501291989664,0.4204293116210215
594,594,GRCh38_segdups,corrected,2892,23,0.003389830508474576,0.17391304347826086,0.0034453057708871662,0.006756756756756756
594,594,GRCh38_segdups,legacy,2892,1710,0.21037099494097808,0.291812865497076,0.429801894918174,0.34761407175200276
595,595,GRCh38_alldifficultregions,corrected,1378,346,0.18196078431372548,0.6705202312138728,0.19982773471145565,0.30789648307896483
595,595,GRCh38_alldifficultregions,legacy,1378,1258,0.5546272493573264,0.6860095389507154,0.7433247200689062,0.7135179826374534
595,595,GRCh38_alllowmapandsegdupregions,corrected,1378,58,0.025231286795626577,0.5172413793103449,0.025839793281653745,0.04922067268252665
595,595,GRCh38_alllowmapandsegdupregions,legacy,1378,1022,0.46805648957632817,0.6810176125244618,0.599483204134367,0.6376546037562987
595,595,GRCh38_notinalldifficultregions,corrected,1378,1032,0.4797570850202429,0.688953488372093,0.6124031007751938,0.6484268125854994
595,595,GRCh38_notinalldifficultregions,legacy,1378,1375,0.5889724310776943,0.6836363636363636,0.8096468561584841,0.7413249211356467
595,595,GRCh38_notinalllowmapandsegdupregions,corrected,1378,1320,0.5822704081632653,0.6916666666666667,0.7863910422049957,0.735993550987505
