run,Sample,Environment,isTrimmed,baseRecalibration,Mapper,VariantCaller,Duplicates,Node,ElapsedTime,elapsed_seconds
558,NC,Uhem + COSAP,YES,YES,BOWTIE,SomaticSniper,DELETE,s023,3:01:02,10862
561,LL,Uhem + COSAP,NO,NO,BOWTIE,SomaticSniper,DELETE,s022,0:54:24,3264
562,EA,Uhem + COSAP,NO,NO,BOWTIE,SomaticSniper,DELETE,s036,02:50:36,10236
563,LL,Altay + COSAP,NO,NO,BOWTIE,SomaticSniper,DELETE,a055,00:54:13,3253
564,NC,Uhem + COSAP,NO,NO,BOWTIE,SomaticSniper,DELETE,s023,1:33:52,5632
567,LL,Uhem + COSAP,YES,NO,BOWTIE,SomaticSniper,DELETE,s022,0:57:22,3442
568,EA,Uhem + COSAP,YES,NO,BOWTIE,SomaticSniper,DELETE,s036,02:50:22,10222
569,LL,Altay + COSAP,YES,NO,BOWTIE,SomaticSniper,DELETE,a055,00:59:33,3573
570,NC,Uhem + COSAP,YES,NO,BOWTIE,SomaticSniper,DELETE,s023,1:35:26,5726
573,LL,Uhem + COSAP,NO,YES,BOWTIE,SomaticSniper,DELETE,s022,1:41:31,6091
574,EA,Uhem + COSAP,NO,YES,BOWTIE,SomaticSniper,DELETE,s036,05:01:51,18111
575,LL,Altay + COSAP,NO,YES,BOWTIE,SomaticSniper,DELETE,a055,01:35:12,5712
576,NC,Uhem + COSAP,NO,YES,BOWTIE,SomaticSniper,DELETE,s023,2:58:15,10695
577,FD,Uhem + COSAP,YES,YES,BWA,Mutect,DELETE,s036,04:28:11,16091
578,FD,Uhem + COSAP,YES,YES,BOWTIE,Mutect,DELETE,s051,04:39:50,16790
579,FD,Uhem + COSAP,YES,YES,BWA,Strelka,DELETE,s041,01:42:01,6121
580,FD,Uhem + COSAP,YES,YES,BOWTIE,Strelka,DELETE,s054,02:00:00,7200
581,FD,Uhem + COSAP,YES,YES,BWA,SomaticSniper,DELETE,s049,01:52:26,6746
582,FD,Uhem + COSAP,YES,YES,BOWTIE,SomaticSniper,DELETE,s055,02:13:20,8000
583,FD,Uhem + COSAP,YES,YES,BWA,Mutect,MARK,s029,04:25:05,15905
