run,Sample,Environment,isTrimmed,baseRecalibration,Mapper,VariantCaller,Duplicates,Inter/Union,Precision,Recall,f1_score
252,NC,Uhem + COSAP,NO,NO,BWA,SomaticSniper,MARK,0.5030881527231892,0.5910290237467019,0.7717484926787253,0.6694060515502428
255,LL,Uhem + COSAP,YES,NO,BWA,SomaticSniper,MARK,0.28344895936570863,0.31497797356828194,0.7390180878552972,0.44169884169884166
256,EA,Uhem + COSAP,YES,NO,BWA,SomaticSniper,MARK,0.4701810436634718,0.551875,0.7605512489233419,0.6396233248822891
257,LL,Altay + COSAP,YES,NO,BWA,SomaticSniper,MARK,0.28344895936570863,0.31497797356828194,0.7390180878552972,0.44169884169884166
258,NC,Uhem + COSAP,YES,NO,BWA,SomaticSniper,MARK,0.49123767798466594,0.5742637644046095,0.772609819121447,0.6588321704002938
261,LL,Uhem + COSAP,NO,YES,BWA,SomaticSniper,MARK,0.3391059202577527,0.38909426987060997,0.7252368647717485,0.5064661654135337
262,EA,Uhem + COSAP,NO,YES,BWA,SomaticSniper,MARK,0.48227349465391106,0.581805838424983,0.7381567614125754,0.6507213363705391
263,LL,Altay + COSAP,NO,YES,BWA,SomaticSniper,MARK,0.3391059202577527,0.38909426987060997,0.7252368647717485,0.5064661654135337
264,NC,Uhem + COSAP,NO,YES,BWA,SomaticSniper,MARK,0.5135916714864083,0.6098901098901099,0.7648578811369509,0.6786396637371036
267,LL,Uhem + COSAP,YES,YES,BOWTIE,SomaticSniper,MARK,0.3669638667292351,0.4463470319634703,0.673557278208441,0.5369035358736698
268,EA,Uhem + COSAP,YES,YES,BOWTIE,SomaticSniper,MARK,0.5214881334188582,0.671345995045417,0.7002583979328165,0.6854974704890389
269,LL,Altay + COSAP,YES,YES,BOWTIE,SomaticSniper,MARK,0.3669638667292351,0.4463470319634703,0.673557278208441,0.5369035358736698
270,NC,Uhem + COSAP,YES,YES,BOWTIE,SomaticSniper,MARK,0.5311704834605598,0.6701444622792937,0.719207579672696,0.6938097216452015
273,LL,Uhem + COSAP,NO,NO,BOWTIE,SomaticSniper,MARK,0.07556270096463022,0.16666666666666666,0.12144702842377261,0.14050822122571002
274,EA,Uhem + COSAP,NO,NO,BOWTIE,SomaticSniper,MARK,0.33171408743927827,0.6306068601583114,0.4117140396210164,0.4981761334028141
275,LL,Altay + COSAP,NO,NO,BOWTIE,SomaticSniper,MARK,0.07556270096463022,0.16666666666666666,0.12144702842377261,0.14050822122571002
276,NC,Uhem + COSAP,NO,NO,BOWTIE,SomaticSniper,MARK,0.33516106922549693,0.6213468869123253,0.42118863049095606,0.5020533880903492
279,LL,Uhem + COSAP,YES,NO,BOWTIE,SomaticSniper,MARK,0.29145546705286024,0.3345802161263508,0.6933677863910422,0.45135968601065324
280,EA,Uhem + COSAP,YES,NO,BOWTIE,SomaticSniper,MARK,0.4886693782684486,0.6002855103497502,0.7243755383290267,0.6565183450429353
281,LL,Altay + COSAP,YES,NO,BOWTIE,SomaticSniper,MARK,0.29145546705286024,0.3345802161263508,0.6933677863910422,0.45135968601065324
282,NC,Uhem + COSAP,YES,NO,BOWTIE,SomaticSniper,MARK,0.5041617122473246,0.6194302410518627,0.7304048234280792,0.6703557312252965
285,LL,Uhem + COSAP,NO,YES,BOWTIE,SomaticSniper,MARK,0.08634920634920636,0.24727272727272728,0.11714039621016366,0.15897136177673876
286,EA,Uhem + COSAP,NO,YES,BOWTIE,SomaticSniper,MARK,0.35236664162284,0.7339593114241002,0.40396210163652024,0.5211111111111112
287,LL,Altay + COSAP,NO,YES,BOWTIE,SomaticSniper,MARK,0.08634920634920636,0.24727272727272728,0.11714039621016366,0.15897136177673876
288,NC,Uhem + COSAP,NO,YES,BOWTIE,SomaticSniper,MARK,0.3493100944081336,0.6901004304160688,0.4142980189491817,0.5177610333692142
290,EA,Altay + COSAP,YES,YES,BWA,Mutect,DELETE,0.7474747474747475,0.8215701823949246,0.892334194659776,0.8554913294797688
296,EA,Altay + COSAP,NO,NO,BWA,Mutect,DELETE,0.745702005730659,0.8158307210031348,0.896640826873385,0.8543290931473123
302,EA,Altay + COSAP,YES,NO,BWA,Mutect,DELETE,0.7330508474576272,0.802784222737819,0.8940568475452196,0.8459657701711492
308,EA,Altay + COSAP,NO,YES,BWA,Mutect,DELETE,0.763235294117647,0.8391269199676638,0.8940568475452196,0.865721434528774
