TestCase1,TestCase2,Inter/Union
bo/mu/no/no/d/467/ll/A,bw/so/no/no/d/537/ll/U,0.27
bo/mu/no/no/d/467/ll/A,bw/so/yes/yes/d/531/ll/U,0.31
bo/mu/no/no/d/467/ll/A,bw/mu/no/no/m/155/ll/A,0.73
bo/mu/no/no/d/467/ll/A,bo/st/yes/yes/d/509/ll/A,0.55
bo/mu/no/no/d/467/ll/A,bw/st/yes/yes/m/197/ll/A,0.43
bo/mu/no/no/d/467/ll/A,bo/st/yes/yes/d/507/ll/U,0.55
bo/mu/no/no/d/467/ll/A,bw/st/no/yes/m/215/ll/A,0.44
bo/mu/no/no/d/467/ll/A,bw/mu/no/no/d/443/ll/A,0.73
bo/mu/no/no/d/467/ll/A,bo/so/yes/no/m/279/ll/U,0.28
bo/mu/no/no/d/467/ll/A,bw/st/no/no/d/489/ll/U,0.4
bo/mu/no/no/d/467/ll/A,bw/st/no/yes/m/213/ll/U,0.44
bo/mu/no/no/d/467/ll/A,bo/st/no/no/m/225/ll/U,0.56
bo/mu/no/no/d/467/ll/A,bo/mu/yes/no/d/473/ll/A,0.8
bo/mu/no/no/d/467/ll/A,bw/so/no/no/m/249/ll/U,0.27
bo/mu/no/no/d/467/ll/A,bo/so/no/yes/m/285/ll/U,0.09
bo/mu/no/no/d/467/ll/A,bw/st/no/no/m/203/ll/A,0.4
bo/mu/no/no/d/467/ll/A,bw/mu/no/yes/d/455/ll/A,0.71
bo/mu/no/no/d/467/ll/A,bw/st/yes/no/d/497/ll/A,0.38
bo/mu/no/no/d/467/ll/A,bw/mu/yes/yes/d/437/ll/A,0.75
bo/mu/no/no/d/467/ll/A,bw/so/no/yes/m/261/ll/U,0.31
bo/mu/no/no/d/467/ll/A,bw/so/yes/no/m/257/ll/A,0.26
bo/mu/no/no/d/467/ll/A,bw/st/no/no/d/491/ll/A,0.4
bo/mu/no/no/d/467/ll/A,bo/st/yes/no/m/233/ll/A,0.5
bo/mu/no/no/d/467/ll/A,bo/mu/no/no/d/465/ll/U,1.0
bo/mu/no/no/d/467/ll/A,bw/mu/no/yes/d/453/ll/U,0.71
bo/mu/no/no/d/467/ll/A,bw/so/no/no/m/251/ll/A,0.27
bo/mu/no/no/d/467/ll/A,bo/so/yes/yes/m/269/ll/A,0.35
bo/mu/no/no/d/467/ll/A,bo/so/yes/yes/m/267/ll/U,0.35
bo/mu/no/no/d/467/ll/A,bw/so/yes/no/d/543/ll/U,0.26
bo/mu/no/no/d/467/ll/A,bo/so/no/yes/d/575/ll/A,0.09
bo/mu/no/no/d/467/ll/A,bo/st/yes/no/d/521/ll/A,0.5
bo/mu/no/no/d/467/ll/A,bo/mu/no/yes/m/189/ll/U,0.87
bo/mu/no/no/d/467/ll/A,bo/st/yes/no/d/519/ll/U,0.5
bo/mu/no/no/d/467/ll/A,bo/mu/yes/yes/m/173/ll/A,0.81
bo/mu/no/no/d/467/ll/A,bo/so/no/yes/d/573/ll/U,0.09
bo/mu/no/no/d/467/ll/A,bw/so/yes/no/d/545/ll/A,0.26
bo/mu/no/no/d/467/ll/A,bo/st/no/yes/d/527/ll/A,0.6
bo/mu/no/no/d/467/ll/A,bw/mu/yes/no/m/159/ll/U,0.76
bo/mu/no/no/d/467/ll/A,bw/mu/yes/no/m/161/ll/A,0.76
bo/mu/no/no/d/467/ll/A,bw/st/yes/yes/m/195/ll/U,0.43
bo/mu/no/no/d/467/ll/A,bw/so/yes/yes/d/533/ll/A,0.31
bo/mu/no/no/d/467/ll/A,bo/so/yes/no/d/567/ll/U,0.28
bo/mu/no/no/d/467/ll/A,bw/so/no/yes/d/551/ll/A,0.31
bo/mu/no/no/d/467/ll/A,bo/so/yes/no/d/569/ll/A,0.28
bo/mu/no/no/d/467/ll/A,bw/st/no/yes/d/503/ll/A,0.44
bo/mu/no/no/d/467/ll/A,bw/mu/no/yes/m/167/ll/A,0.71
bo/mu/no/no/d/467/ll/A,bo/so/yes/yes/d/557/ll/A,0.35
bo/mu/no/no/d/467/ll/A,bo/so/no/no/d/561/ll/U,0.08
bo/mu/no/no/d/467/ll/A,bw/so/yes/yes/m/245/ll/A,0.31
bo/mu/no/no/d/467/ll/A,bo/so/no/yes/m/287/ll/A,0.09
bo/mu/no/no/d/467/ll/A,bo/so/no/no/m/273/ll/U,0.08
bo/mu/no/no/d/467/ll/A,bw/st/yes/yes/d/485/ll/A,0.43
bo/mu/no/no/d/467/ll/A,bo/st/no/no/m/227/ll/A,0.56
bo/mu/no/no/d/467/ll/A,bo/mu/yes/no/d/471/ll/U,0.8
bo/mu/no/no/d/467/ll/A,bw/mu/yes/no/d/449/ll/A,0.76
bo/mu/no/no/d/467/ll/A,bw/mu/yes/no/d/447/ll/U,0.76
bo/mu/no/no/d/467/ll/A,bo/so/yes/no/m/281/ll/A,0.28
bo/mu/no/no/d/467/ll/A,bo/so/no/no/m/275/ll/A,0.08
