TestCase,TMB
730,14.598371678554702
502,22.399028300683167
166,15.316527367576052
398,19.811191421278647
161,11.911478842043785
737,19.340675625023277
195,23.179093962896015
168,14.004035935916342
533,27.36420815064113
739,14.103091893022736
150,14.078327903746137
362,14.77171960349089
534,18.56060996281043
594,35.80872849396115
104,19.105417726895592
752,13.44684617719288
799,13.01347636485241
755,18.02818419336357
567,29.791079099747762
593,40.848200311748904
558,15.427965319320744
14,16.009919067320805
763,14.090709898384436
551,26.79463639727937
797,13.050622348767307
338,23.71151973234288
790,10.301819539064896
556,14.994595506980275
764,13.422082187916281
569,29.791079099747762
738,16.95095065983154
532,19.192091689363686
156,14.090709898384436
160,16.009919067320805
736,14.969831517703676
504,21.755164579491613
503,22.49808425778956
731,18.56060996281043
167,12.666780514980033
765,24.627787335577015
557,21.693254606300115
791,16.80236672417195
568,17.347174488257114
796,14.016417930554642
134,17.347174488257114
550,18.238678102214653
762,9.744629780341434
592,17.607196375661395
754,12.939184397022615
753,21.755164579491613
561,10.475167464001084
595,17.06238861157623
308,15.316527367576052
798,12.914420407746016
621,40.538650445791426
245,27.36420815064113
619,18.622519936001925
626,12.456286606128948
845,13.050622348767307
422,17.347174488257114
610,11.007593233447947
274,9.385551935830758
280,17.347174488257114
628,15.378437340767547
842,13.929743968086548
287,6.810097051064534
273,10.475167464001084
617,38.508003325110366
485,23.179093962896015
227,11.750512911745897
829,14.276439817958924
471,11.341907088682024
643,17.06238861157623
816,8.419756354043423
644,13.285880246894992
220,14.77171960349089
811,20.690313040597886
449,11.911478842043785
818,13.929743968086548
216,21.755164579491613
672,9.769393769618032
827,32.205568054216094
447,11.911478842043785
820,14.016417930554642
478,13.310644236171589
629,27.574702059492214
843,13.929743968086548
616,12.976330380937512
286,7.9120945738731585
844,14.016417930554642
281,29.791079099747762
611,27.02989429540705
275,10.475167464001084
288,8.63025026289451
618,9.769393769618032
243,27.36420815064113
627,27.35182615600283
620,16.95095065983154
244,19.192091689363686
210,25.383089008513263
8,15.799425158469719
821,13.050622348767307
479,11.081885201277743
819,13.929743968086548
441,13.669722080682265
826,31.71028826868413
228,13.657340086043966
483,23.179093962896015
477,11.081885201277743
645,40.006224676344566
221,14.524079710724907
810,20.90080694944897
448,16.009919067320805
828,20.120741287236125
226,14.004035935916342
642,35.80872849396115
484,23.71151973234288
219,14.524079710724907
817,13.966889952001445
