TestCase,Region,Inter/Union,Precision,Recall,f1_score
671,GRCh38_alldifficultregions.bed,0.2533908754623921,0.28296041308089503,0.7080103359173127,0.40432857845548453
672,GRCh38_alldifficultregions.bed,0.03856749311294766,0.09668508287292818,0.06029285099052541,0.0742705570291777
721,GRCh38_alldifficultregions.bed,0.7185301016419078,0.8862102217936355,0.7915590008613265,0.8362147406733395
722,GRCh38_alldifficultregions.bed,0.7198067632850241,0.916923076923077,0.7700258397932817,0.8370786516853933
723,GRCh38_alldifficultregions.bed,0.49921011058451814,0.5622775800711743,0.8165374677002584,0.6659641728134879
724,GRCh38_alldifficultregions.bed,0.6160458452722063,0.7853881278538812,0.7407407407407407,0.7624113475177305
725,GRCh38_alldifficultregions.bed,0.46267806267806266,0.577524893314367,0.6993970714900948,0.6326451110245421
726,GRCh38_alldifficultregions.bed,0.4890745501285347,0.6583044982698962,0.6554694229112834,0.6568839015968926
727,GRCh38_alldifficultregions.bed,0.7185301016419078,0.8862102217936355,0.7915590008613265,0.8362147406733395
728,GRCh38_alldifficultregions.bed,0.7198067632850241,0.916923076923077,0.7700258397932817,0.8370786516853933
729,GRCh38_alldifficultregions.bed,0.49921011058451814,0.5622775800711743,0.8165374677002584,0.6659641728134879
730,GRCh38_alldifficultregions.bed,0.6160458452722063,0.7853881278538812,0.7407407407407407,0.7624113475177305
731,GRCh38_alldifficultregions.bed,0.46267806267806266,0.577524893314367,0.6993970714900948,0.6326451110245421
732,GRCh38_alldifficultregions.bed,0.4890745501285347,0.6583044982698962,0.6554694229112834,0.6568839015968926
733,GRCh38_alldifficultregions.bed,0.7200938232994527,0.8864292589027911,0.7932816537467701,0.8372727272727272
734,GRCh38_alldifficultregions.bed,0.7155448717948718,0.9112244897959184,0.7691645133505599,0.8341896310135452
735,GRCh38_alldifficultregions.bed,0.45506692160611856,0.5055762081784386,0.8199827734711456,0.6254927726675427
736,GRCh38_alldifficultregions.bed,0.6061884669479606,0.767586821015138,0.7424633936261843,0.754816112084063
737,GRCh38_alldifficultregions.bed,0.45509977827050996,0.5607923497267759,0.7071490094745909,0.6255238095238095
738,GRCh38_alldifficultregions.bed,0.4667472793228537,0.6102766798418973,0.664944013781223,0.6364385820280297
