TestCase,Sample,isTrimmed,baseRecalibration,Mapper,VariantCaller,Duplicates,Node,ElapsedTime,Environment,"baseRecalibration, isTrimmed","Mapper, VariantCaller"
447,LL,YES,NO,BWA,Mutect,DELETE,s046,2:26:31,Uhem + COSAP,"NO, YES","BWA, Mutect"
448,EA,YES,NO,BWA,Mutect,DELETE,s063,06:59:08,Uhem + COSAP,"NO, YES","BWA, Mutect"
449,LL,YES,NO,BWA,Mutect,DELETE,a081,02:30:55,Altay + COSAP,"NO, YES","BWA, Mutect"
450,NC,YES,NO,BWA,Mutect,DELETE,s012,6:32:11,Uhem + COSAP,"NO, YES","BWA, Mutect"
453,LL,NO,YES,BWA,Mutect,DELETE,s046,3:27:06,Uhem + COSAP,"YES, NO","BWA, Mutect"
454,EA,NO,YES,BWA,Mutect,DELETE,s063,09:42:07,Uhem + COSAP,"YES, NO","BWA, Mutect"
455,LL,NO,YES,BWA,Mutect,DELETE,a081,03:35:02,Altay + COSAP,"YES, NO","BWA, Mutect"
456,NC,NO,YES,BWA,Mutect,DELETE,s012,9:02:31,Uhem + COSAP,"YES, NO","BWA, Mutect"
459,LL,YES,YES,BOWTIE,Mutect,DELETE,s042,3:04:35,Uhem + COSAP,"YES, YES","BOWTIE, Mutect"
460,EA,YES,YES,BOWTIE,Mutect,DELETE,s066,09:17:06,Uhem + COSAP,"YES, YES","BOWTIE, Mutect"
461,LL,YES,YES,BOWTIE,Mutect,DELETE,a076,02:52:52,Altay + COSAP,"YES, YES","BOWTIE, Mutect"
462,NC,YES,YES,BOWTIE,Mutect,DELETE,s022,7:12:41,Uhem + COSAP,"YES, YES","BOWTIE, Mutect"
465,LL,NO,NO,BOWTIE,Mutect,DELETE,s042,4:13:58,Uhem + COSAP,"NO, NO","BOWTIE, Mutect"
466,EA,NO,NO,BOWTIE,Mutect,DELETE,s066,12:07:36,Uhem + COSAP,"NO, NO","BOWTIE, Mutect"
467,LL,NO,NO,BOWTIE,Mutect,DELETE,a076,03:52:28,Altay + COSAP,"NO, NO","BOWTIE, Mutect"
468,NC,NO,NO,BOWTIE,Mutect,DELETE,s022,10:58:56,Uhem + COSAP,"NO, NO","BOWTIE, Mutect"
471,LL,YES,NO,BOWTIE,Mutect,DELETE,s042,2:42:15,Uhem + COSAP,"NO, YES","BOWTIE, Mutect"
472,EA,YES,NO,BOWTIE,Mutect,DELETE,s066,07:15:09,Uhem + COSAP,"NO, YES","BOWTIE, Mutect"
473,LL,YES,NO,BOWTIE,Mutect,DELETE,a076,02:29:26,Altay + COSAP,"NO, YES","BOWTIE, Mutect"
474,NC,YES,NO,BOWTIE,Mutect,DELETE,s022,6:05:45,Uhem + COSAP,"NO, YES","BOWTIE, Mutect"
477,LL,NO,YES,BOWTIE,Mutect,DELETE,s042,4:09:33,Uhem + COSAP,"YES, NO","BOWTIE, Mutect"
478,EA,NO,YES,BOWTIE,Mutect,DELETE,s066,12:44:01,Uhem + COSAP,"YES, NO","BOWTIE, Mutect"
479,LL,NO,YES,BOWTIE,Mutect,DELETE,a076,03:44:02,Altay + COSAP,"YES, NO","BOWTIE, Mutect"
480,NC,NO,YES,BOWTIE,Mutect,DELETE,s022,9:48:41,Uhem + COSAP,"YES, NO","BOWTIE, Mutect"
483,LL,YES,YES,BWA,Strelka,DELETE,s037,1:16:45,Uhem + COSAP,"YES, YES","BWA, Strelka"
484,EA,YES,YES,BWA,Strelka,DELETE,s064,03:44:14,Uhem + COSAP,"YES, YES","BWA, Strelka"
485,LL,YES,YES,BWA,Strelka,DELETE,a084,01:23:36,Altay + COSAP,"YES, YES","BWA, Strelka"
486,NC,YES,YES,BWA,Strelka,DELETE,s021,2:16:45,Uhem + COSAP,"YES, YES","BWA, Strelka"
489,LL,NO,NO,BWA,Strelka,DELETE,s037,0:42:25,Uhem + COSAP,"NO, NO","BWA, Strelka"
490,EA,NO,NO,BWA,Strelka,DELETE,s064,01:37:40,Uhem + COSAP,"NO, NO","BWA, Strelka"
491,LL,NO,NO,BWA,Strelka,DELETE,a084,00:37:57,Altay + COSAP,"NO, NO","BWA, Strelka"
492,NC,NO,NO,BWA,Strelka,DELETE,s021,0:58:05,Uhem + COSAP,"NO, NO","BWA, Strelka"
495,LL,YES,NO,BWA,Strelka,DELETE,s037,0:34:45,Uhem + COSAP,"NO, YES","BWA, Strelka"
496,EA,YES,NO,BWA,Strelka,DELETE,s064,01:44:11,Uhem + COSAP,"NO, YES","BWA, Strelka"
497,LL,YES,NO,BWA,Strelka,DELETE,a084,00:45:14,Altay + COSAP,"NO, YES","BWA, Strelka"
498,NC,YES,NO,BWA,Strelka,DELETE,s021,1:02:33,Uhem + COSAP,"NO, YES","BWA, Strelka"
501,LL,NO,YES,BWA,Strelka,DELETE,s037,1:14:50,Uhem + COSAP,"YES, NO","BWA, Strelka"
502,EA,NO,YES,BWA,Strelka,DELETE,s064,03:42:07,Uhem + COSAP,"YES, NO","BWA, Strelka"
503,LL,NO,YES,BWA,Strelka,DELETE,a084,01:21:16,Altay + COSAP,"YES, NO","BWA, Strelka"
504,NC,NO,YES,BWA,Strelka,DELETE,s021,2:25:58,Uhem + COSAP,"YES, NO","BWA, Strelka"
507,LL,YES,YES,BOWTIE,Strelka,DELETE,s037,1:30:59,Uhem + COSAP,"YES, YES","BOWTIE, Strelka"
508,EA,YES,YES,BOWTIE,Strelka,DELETE,s014,04:17:18,Uhem + COSAP,"YES, YES","BOWTIE, Strelka"
509,LL,YES,YES,BOWTIE,Strelka,DELETE,a049,01:35:41,Altay + COSAP,"YES, YES","BOWTIE, Strelka"
