TestCaseNo,phase,Sample,operatingSystem,Environment,isTrimmed,baseRecalibration,Mapper,M_Version,VariantCaller,VC_Version,ReferenceGenom,Duplicates,VariantFilter,FilterPass,SOMATICfilter,remove_indels,TMB,FileLink,Result VCF Count,Author,Slurm_id,Node,ElapsedTime
TestCase 183,done,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,11.341907088682024,https://drive.google.com/drive/folders/1HJ8_4WI0ZNmW5iTS-7cDPVB_KAT2KEqX?usp=sharing,916,GÜL EDA,658696.0,s028,2:28:14
TestCase 184,done,EA,,Uhem + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,13.830688010980156,https://drive.google.com/drive/folders/1XQ09fu4Lmuf3nSradkI0lB_tff2-OYZY?usp=share_link,1117,GUL EDA,664679.0,s067,07:06:47
TestCase 185,done,LL,,Altay + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,11.341907088682024,https://drive.google.com/drive/folders/1LJt6pHE1yhnf_K6_om32tSxm31TIOZ9l?usp=share_link,916,GÜL EDA,29304.0,a057,02:30:39
TestCase 186,done,NC,,Uhem + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,MARK,,,,,13.34779022008649,https://drive.google.com/drive/folders/1BZVJWs4-LF47rW0BMHuCfxFb-uSL1mkl?usp=sharing,1078,GÜL EDA,658818.0,s022,6:09:56
TestCase 189,done,LL,,Uhem + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,11.081885201277744,https://drive.google.com/drive/folders/1hqT1veYtg3ANTeeLZwZ5M_q5tVWjoOMd?usp=sharing,895,GÜL EDA,658696.0,s028,3:52:38
TestCase 190,done,EA,,Uhem + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,13.310644236171589,https://drive.google.com/drive/folders/1p_KUXQ45r63XustQVssxiRg4vsq_LoJD?usp=share_link,1075,GUL EDA,664679.0,s067,12:24:31
TestCase 191,done,LL,,Altay + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,11.081885201277744,https://drive.google.com/drive/folders/1Veqsl4fMGvV_tOuSaIpQOHcIIVfEgmGL?usp=share_link,895,GÜL EDA,29304.0,a057,03:51:21
TestCase 192,done,NC,,Uhem + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,MARK,,,,,13.446846177192882,https://drive.google.com/drive/folders/1XOhxZ9pvl8xDx4-TQ7RK2uTuNAK5QnzZ?usp=sharing,1086,GÜL EDA,658818.0,s022,9:49:26
TestCase 195,done,LL,,Uhem + COSAP,YES,YES,BWA,,Strelka,,hg38,MARK,,,,,23.17909396289601,https://drive.google.com/drive/folders/1SjomkMU7UHuUNE9w9caPps2E08ORKXEK?usp=sharing,1872,GÜL EDA,655629.0,s022,1:23:18
TestCase 196,done,EA,,Uhem + COSAP,YES,YES,BWA,,Strelka,,hg38,MARK,,,,,23.71151973234288,https://drive.google.com/drive/folders/1nos7SHfVgEmTXAVrxVgylT-L8mLKJ1Zk?usp=share_link,1915,GUL EDA,664683.0,s023,03:11:37
TestCase 197,done,LL,,Altay + COSAP,YES,YES,BWA,,Strelka,,hg38,MARK,,,,,23.17909396289601,https://drive.google.com/drive/folders/1yHMuSdHkW8yIFq3tmt_-LUm1jzethL2R?usp=share_link,1872,GÜL EDA,29193.0,a043,01:25:44
TestCase 198,done,NC,,Uhem + COSAP,YES,YES,BWA,,Strelka,,hg38,MARK,,,,,22.720960161278946,https://drive.google.com/drive/folders/1MfecbP1TbyFNVNSa1-L_v52h4NQPGffR?usp=sharing,1835,GÜL EDA,655356.0,s023,2:42:53
TestCase 201,done,LL,,Uhem + COSAP,NO,NO,BWA,,Strelka,,hg38,MARK,,,,,25.44499898170476,https://drive.google.com/drive/folders/1aY3z3eGQJ5bYaW2Ce7a77VfLJiNR9_xf?usp=sharing,2055,GÜL EDA,655629.0,s022,0:44:06
TestCase 202,done,EA,,Uhem + COSAP,NO,NO,BWA,,Strelka,,hg38,MARK,,,,,27.797577962981602,https://drive.google.com/drive/folders/1PuvIleO2C7ZXe6jh8XdUIglwEEnTrsnv?usp=share_link,2245,GUL EDA,664683.0,s023,02:00:47
TestCase 203,done,LL,,Altay + COSAP,NO,NO,BWA,,Strelka,,hg38,MARK,,,,,25.44499898170476,https://drive.google.com/drive/folders/1ziSErxfmI8D5R2mEiQ-MxPLNSCQd96nQ?usp=share_link,2055,GÜL EDA,29193.0,a043,00:41:23
TestCase 204,done,NC,,Uhem + COSAP,NO,NO,BWA,,Strelka,,hg38,MARK,,,,,24.62778733557701,https://drive.google.com/drive/folders/1tyGNUhbWOCgXB8vcxZQCmcB7ZVdjSTkL?usp=sharing,1989,GÜL EDA,655595.0,f010,0:55:57
TestCase 207,done,LL,,Uhem + COSAP,YES,NO,BWA,,Strelka,,hg38,MARK,,,,,26.2745926224708,https://drive.google.com/drive/folders/1v8rfJ7LVl6kG_NaSn6OfR9CqLHbTgalw?usp=sharing,2122,GÜL EDA,655629.0,s022,0:37:34
TestCase 208,done,EA,,Uhem + COSAP,YES,NO,BWA,,Strelka,,hg38,MARK,,,,,29.011013437534924,https://drive.google.com/drive/folders/1sjW7hxpo1q5cerSzEICGx8ygM3v6H5LY?usp=share_link,2343,GUL EDA,664683.0,s023,01:59:32
TestCase 209,done,LL,,Altay + COSAP,YES,NO,BWA,,Strelka,,hg38,MARK,,,,,26.2745926224708,https://drive.google.com/drive/folders/1N6HmkvPyMMV-NJ_ugdUVVmJtsaI94IIt?usp=share_link,2122,GÜL EDA,29193.0,a043,00:43:39
TestCase 210,done,NC,,Uhem + COSAP,YES,NO,BWA,,Strelka,,hg38,MARK,,,,,25.383089008513263,https://drive.google.com/drive/folders/1ImgcUG03MxA6IA6fCDYM0OHJV10R8bPN?usp=sharing,2050,GÜL EDA,655595.0,f010,1:01:53
TestCase 213,done,LL,,Uhem + COSAP,NO,YES,BWA,,Strelka,,hg38,MARK,,,,,22.49808425778956,https://drive.google.com/drive/folders/1tP9mYpPyIvXd8OrnIL8Fq3_cES7W172B?usp=sharing,1817,GÜL EDA,655629.0,s022,1:22:52
